Frequency (Hz)	Level (dB)
17011.230469	-43.551785
17054.296875	-43.773724
17097.363281	-38.036819
17140.429688	-44.251732
17183.496094	-44.562168
17226.562500	-44.708874
17269.628906	-44.827400
17312.695312	-44.806446
17355.761719	-44.908836
17398.828125	-44.471535
17441.894531	-44.399151
17484.960938	-44.393555
17528.027344	-44.331303
17571.093750	-44.510395
17614.160156	-44.597496
17657.226562	-44.775314
17700.292969	-44.740173
17743.359375	-44.694889
17786.425781	-44.625290
17829.492188	-44.172588
17872.558594	-43.823563
17915.625000	-43.707294
17958.691406	-43.601810
18001.757812	-43.332573
18044.824219	-43.541599
18087.890625	-43.516010
18130.957031	-43.554550
18174.023438	-41.806961
18217.089844	-42.529655
18260.156250	-42.693554
18303.222656	-41.774620
18346.289062	-39.839165
18389.355469	-40.094143
18432.421875	-42.140751
18475.488281	-43.009876
18518.554688	-43.369774
18561.621094	-43.712677
18604.687500	-43.275028
18647.753906	-43.139008
18690.820312	-42.935291
18733.886719	-42.207809
18776.953125	-40.463741
18820.019531	-37.290386
18863.085938	-36.859554
18906.152344	-39.962925
18949.218750	-41.273174
18992.285156	-41.697041
19035.351562	-42.506958
19078.417969	-42.635670
19121.484375	-42.651257
19164.550781	-42.822254
19207.617188	-42.628803
19250.683594	-42.589630
19293.750000	-42.320805
19336.816406	-42.071354
19379.882812	-42.063255
19422.949219	-42.076077
19466.015625	-41.849178
19509.082031	-41.279419
19552.148438	-41.549587
19595.214844	-41.815086
19638.281250	-42.060963
19681.347656	-41.889111
19724.414062	-41.980103
19767.480469	-42.247089
19810.546875	-42.139881
19853.613281	-42.279778
19896.679688	-42.023884
19939.746094	-41.966686
19982.812500	-41.973831
20025.878906	-42.060318
20068.945312	-42.219120
20112.011719	-41.463432
20155.078125	-41.507988
20198.144531	-41.391407
20241.210938	-41.637135
20284.277344	-41.560814
20327.343750	-41.058804
20370.410156	-40.773819
20413.476562	-40.456047
20456.542969	-40.077946
20499.609375	-38.339470
20542.675781	-36.493004
20585.742188	-34.001854
20628.808594	-30.339001
20671.875000	-28.369377
20714.941406	-32.356712
20758.007812	-36.879379
20801.074219	-39.491993
20844.140625	-41.697979
20887.207031	-41.834080
20930.273438	-43.523640
20973.339844	-43.877758
21016.406250	-44.069542
21059.472656	-43.975094
21102.539062	-42.394489
21145.605469	-40.651669
21188.671875	-42.772224
21231.738281	-44.636921
21274.804688	-45.421532
21317.871094	-45.692932
21360.937500	-46.048824
21404.003906	-45.830658
21447.070312	-45.710976
21490.136719	-44.995300
21533.203125	-44.732109
21576.269531	-44.034786
21619.335938	-43.839760
21662.402344	-44.881359
21705.468750	-45.278385
21748.535156	-45.881001
21791.601562	-46.424110
21834.667969	-46.725540
21877.734375	-46.518982
21920.800781	-46.945889
21963.867188	-47.033752
22006.933594	-46.889343
